S.No.,Organization,Problem Statement Title,Category,PS Number,Submitted Idea(s) Count,Theme,Deadline for Idea Submission
157,National Technical Research Organisation (NTRO),Supervisory Analytics Tool for SOC Assessment (SAT-SA),Software,SIH26157,0/500,Blockchain & Cybersecurity,20 September 2026
158,National Technical Research Organisation (NTRO),Single-Pass Drone Video to Accurate 3D Model Generation System,Software,SIH26158,0/500,Robotics and Drones,20 September 2026
159,National Technical Research Organisation (NTRO),SecureMailScope: AI-Assisted Cryptographic Security Posture Assessment for Secure Email Communications,Software,SIH26159,0/500,Blockchain & Cybersecurity,20 September 2026
160,National Technical Research Organisation (NTRO),AI-Powered IPsec VPN Protocol Analyzer and Security Assessment Framework,Software,SIH26160,0/500,Blockchain & Cybersecurity,20 September 2026
161,National Technical Research Organisation (NTRO),Dam Break Inundation Modelling Using Hydrodynamic Modelling of any River,Software,SIH26161,0/500,Disaster Management,20 September 2026
162,National Technical Research Organisation (NTRO),"AI-Based Detection and Classification of Industrial Fires and Persistent Thermal Sources Using NASA FIRMS, OSM & Satellite Data",Software,SIH26162,0/500,Disaster Management,20 September 2026
163,National Technical Research Organisation (NTRO),Security Assessment of the World Monitor application,Software,SIH26163,0/500,Smart Automation,20 September 2026
164,National Technical Research Organisation (NTRO),Enterprise Cryptographic Discovery & Analysis Tool (ECDAT),Software,SIH26164,0/500,Blockchain & Cybersecurity,20 September 2026
165,Oil India Limited,AI/NLP Engine to Detect Serious Injury & Fatality (SIF) Precursors in OIL's Unsafe-Act/Unsafe-Condition and Near-Miss Reports,Software,SIH26165,0/500,Smart Automation,20 September 2026
166,Indian Space Research Organisation(ISRO),"Multi-modal, Sun angle and scale invariant image correspondence using Chandrayaan-2 optical images (OHRC, TMC and IIRS)",Software,SIH26166,0/500,Space Technology,20 September 2026
167,Indian Space Research Organisation(ISRO),SatQuery AI - An Interactive Vision-Language Assistant for Multimodal Remote Sensing Image Analysis through Text Queries,Software,SIH26167,0/500,Space Technology,20 September 2026
168,Indian Space Research Organisation(ISRO),AI-ML based Intelligent Dead Reckoning system for seamless navigation,Software,SIH26168,0/500,Smart Vehicles,20 September 2026
169,Indian Space Research Organisation(ISRO),Development of an AI-Based Virtual Camera Tracking System for Coarse Alignment of Mobile Free Space Optical Communication (FSOC) Terminals,Software,SIH26169,0/500,Smart Automation,20 September 2026
170,Indian Space Research Organisation(ISRO),AI-Driven Anomaly Detection in Component Burn-In & Screening,Software,SIH26170,0/500,Smart Automation,20 September 2026
171,Indian Space Research Organisation(ISRO),On-device Visual Perception for Light-weight Browser Agents,Software,SIH26171,0/500,Smart Automation,20 September 2026
172,Indian Space Research Organisation(ISRO),Low Latency and Efficient Voice Activator for Edge Devices,Hardware,SIH26172,0/500,Smart Automation,20 September 2026
173,Indian Space Research Organisation(ISRO),iTantra -Indian Multilingual TTS & STT Aided Neural Transceiver Radio Access for low bitrate links,Software,SIH26173,0/500,Smart Automation,20 September 2026
174,Indian Space Research Organisation(ISRO),AI Human Activity Recognition for On-board BAS Experiments,Software,SIH26174,0/500,Space Technology,20 September 2026
175,Indian Space Research Organisation(ISRO),DepthWizard - Single-View Height Estimation and 3D Flythrough,Software,SIH26175,0/500,Disaster Management,20 September 2026
176,Indian Space Research Organisation(ISRO),ORCA Marine EcOsystem Reasoning with Collaborative Agents,Software,SIH26176,0/500,Disaster Management,20 September 2026
177,Qualcomm Inc,"A deployable AI-powered autonomous drone that aids search-and-rescue operations by detecting people and hazards, thereby improving responder safety and reducing victim discovery time.",Hardware,SIH26177,0/500,Robotics and Drones,20 September 2026
178,Qualcomm Inc,"A resilient, AI-powered environmental monitoring network that provides early detection, localized intelligence, and actionable alerts for floods, forest fires, pollution events, and other environmental hazards common in India, enabling authorities and communities to shift from reactive disaster response to proactive risk prevention.",Hardware,SIH26178,0/500,Disaster Management,20 September 2026
179,Qualcomm Inc,"To build an AI-powered retail intelligence platform that delivers real-time shopper analytics, automated inventory visibility, and proactive queue management through on-device AI,enabling retailers to reduce stock-outs, improve customer experience, optimize staffing, and increase operational efficiency while maintaining privacy and minimizing cloud dependency.",Hardware,SIH26179,0/500,Miscellaneous,20 September 2026
180,Qualcomm Inc,"A field-deployable AI-powered Smart Farming Assistant that helps farmers detect crop diseases, pests, nutrient deficiencies, and irrigation needs at an early stage, while improving resilience against droughts, floods, heat waves, and other agricultural risks common in India. The solution should enable higher yields, lower input costs, more efficient water usage, and faster response to emerging threats through real-time on-device intelligence.",Hardware,SIH26180,0/500,"Agriculture, FoodTech & Rural Development",20 September 2026
181,Qualcomm Inc,"A secure, AI-powered Personal Health Companion that delivers real-time, privacy-preserving health monitoring and early warning capabilities, helping individuals recognize health risks before they become emergencies. The solution should improve resilience during heat waves, floods, pollution events, and other disasters common in India while enabling continuous health support through on-device intelligence.",Hardware,SIH26181,0/500,MedTech / BioTech / HealthTech,20 September 2026
182,Ministry of Home Affairs,Automated Attribution of Unknown Cryptocurrency Wallets to Nearest Virtual Asset Service Providers (VASPs) through Blockchain Intelligence APIs,Software,SIH26182,0/500,Blockchain & Cybersecurity,20 September 2026
183,Ministry of Home Affairs,Real-Time Identification of Fraud-Linked Cryptocurrency Exchanges from Victim-Reported Suspect Wallet Addresses through Automated Blockchain Analytics,Software,SIH26183,0/500,Blockchain & Cybersecurity,20 September 2026
184,Ministry of Home Affairs,"Development of a Predictive Analytics Framework for Cybercrime Complaints to Forecast Likely Cash Withdrawal Locations in Advance, Enabling Generation of Actionable Intelligence for Timely and Proactive Cybercrime Intervention.",Software,SIH26184,0/500,Blockchain & Cybersecurity,20 September 2026
185,Ministry of Home Affairs,Helmet mounted conformal antenna for tactical communications in urban CQB environments.,Hardware,SIH26185,0/500,Robotics and Drones,20 September 2026
186,Ministry of Home Affairs,AI-Based Predictive Personnel Stress and Welfare Monitoring System for Uniformed Forces,Software,SIH26186,0/500,MedTech / BioTech / HealthTech,20 September 2026
187,Ministry of Home Affairs,AI-Based Intelligent Video Analytics Platform for Border Surveillance using existing CCTV Infrastructure.,Software,SIH26187,0/500,Blockchain & Cybersecurity,20 September 2026
188,Ministry of Home Affairs,Al-Based Fake Identity & Document Screening System,Software,SIH26188,0/500,Blockchain & Cybersecurity,20 September 2026
189,Ministry of Home Affairs,AI-Powered Criminal Network Analysis System,Software,SIH26189,0/500,Blockchain & Cybersecurity,20 September 2026
190,Ministry of Home Affairs,Secure Digital Document Management System for Legal and Investigation Documents,Software,SIH26190,0/500,Blockchain & Cybersecurity,20 September 2026
191,Ministry of Home Affairs,"Intelligent Identification of Hazard-Based Red Zones, Carrying Capacity Assessment, and Immediate Relocation Needs for Vulnerable Habitations",Software,SIH26191,0/500,Disaster Management,20 September 2026
192,Ministry of Home Affairs,Flash Flood Prediction System for Hilly Regions using Multi-Source Data Theme,Software,SIH26192,0/500,Disaster Management,20 September 2026
193,AICTE,"Student Innovation-Developing solutions, keeping in mind the need to enhance the primary sector of India - Agriculture and to manage and process our agriculture produce.",Software,SIH26193,0/500,"Agriculture, FoodTech & Rural Development",20 September 2026
194,AICTE,Student Innovation-Provide ideas in a decentralized and distributed ledger technology used to store digital information that powers cryptocurrencies and NFTs and can radically change multiple sectors.,Software,SIH26194,0/500,Blockchain & Cybersecurity,20 September 2026
195,AICTE,"Student Innovation-Solutions could be in the form of waste segregation, disposal, and improve sanitization system.",Software,SIH26195,0/500,Clean & Green Technology,20 September 2026
196,AICTE,Student Innovation-Ideas that can boost fitness activities and assist in keeping fit.,Software,SIH26196,0/500,Fitness & Sports,20 September 2026
197,AICTE,Student Innovation-Ideas that showcase the rich cultural heritage and traditions of India.,Software,SIH26197,0/500,Heritage & Culture,20 September 2026
198,AICTE,"Student Innovation-Cutting-edge technology in these sectors continues to be in demand. Recent shifts in healthcare trends, growing populations also present an array of opportunities for innovation.",Software,SIH26198,0/500,MedTech / BioTech / HealthTech,20 September 2026
199,AICTE,"Student Innovation-Technology ideas in tertiary sectors like Hospitality, Financial Services, Entertainment and Retail.",Software,SIH26199,0/500,Miscellaneous,20 September 2026
200,AICTE,Student Innovation-Innovative ideas that help manage and generate renewable /sustainable sources more efficiently,Software,SIH26200,0/500,Renewable / Sustainable Energy,20 September 2026
201,AICTE,"Student Innovation-There is a need to design drones and robots that can solve some of the pressing challenges of India such as handling medical emergencies, search and rescue operations, etc.",Software,SIH26201,0/500,Robotics and Drones,20 September 2026
202,AICTE,Student Innovation-Ideas focused on the intelligent use of resources for transforming and advancements of technology with combining the artificial intelligence to explore more various sources and get valuable insights.,Software,SIH26202,0/500,Smart Automation,20 September 2026
203,AICTE,Student Innovation-Creating intelligent devices to improve commutation sector.,Software,SIH26203,0/500,Smart Vehicles,20 September 2026
204,AICTE,"Student Innovation-A solution/idea that can boost the current situation of the tourism industries including hotels, travel and others.",Software,SIH26204,0/500,Travel & Tourism,20 September 2026
205,AICTE,"Student Innovation-Submit your ideas to address the growing pressures on the city’s resources, transport networks, and logistic infrastructure.",Software,SIH26205,0/500,Transportation & Logistics,20 September 2026
206,AICTE,"Student Innovation-Disaster management includes ideas related to risk mitigation, Planning and management before, after or during a disaster.",Software,SIH26206,0/500,Disaster Management,20 September 2026
207,AICTE,"Student Innovation-Smart education,a concept that describes learning in digital age. It enables learners to learn more effectively, efficiently, flexibly and comfortably.",Software,SIH26207,0/500,Smart Education,20 September 2026
208,AICTE,"Student Innovation-Challenge your creative mind to conceptualize and develop unique toys and games based on our civilization, history, and culture etc.",Software,SIH26208,0/500,Toys & Games,20 September 2026
209,AICTE,"Student Innovation-Space technology refers to the application of engineering principles to the design, development, manufacture, and operation of devices and systems for space travel and exploration.",Software,SIH26209,0/500,Space Technology,20 September 2026
210,AICTE,"Student Innovation-Developing solutions, keeping in mind the need to enhance the primary sector of India - Agriculture and to manage and process our agriculture produce.",Hardware,SIH26210,0/500,"Agriculture, FoodTech & Rural Development",20 September 2026
211,AICTE,Student Innovation-Provide ideas in a decentralized and distributed ledger technology used to store digital information that powers cryptocurrencies and NFTs and can radically change multiple sectors.,Hardware,SIH26211,0/500,Blockchain & Cybersecurity,20 September 2026
212,AICTE,"Student Innovation-Solutions could be in the form of waste segregation, disposal, and improve sanitization system.",Hardware,SIH26212,0/500,Clean & Green Technology,20 September 2026
213,AICTE,Student Innovation-Ideas that can boost fitness activities and assist in keeping fit.,Hardware,SIH26213,0/500,Fitness & Sports,20 September 2026
214,AICTE,Student Innovation-Ideas that showcase the rich cultural heritage and traditions of India.,Hardware,SIH26214,0/500,Heritage & Culture,20 September 2026
215,AICTE,"Student Innovation-Cutting-edge technology in these sectors continues to be in demand. Recent shifts in healthcare trends, growing populations also present an array of opportunities for innovation.",Hardware,SIH26215,0/500,MedTech / BioTech / HealthTech,20 September 2026
216,AICTE,"Student Innovation-Technology ideas in tertiary sectors like Hospitality, Financial Services, Entertainment and Retail.",Hardware,SIH26216,0/500,Miscellaneous,20 September 2026
217,AICTE,Student Innovation-Innovative ideas that help manage and generate renewable /sustainable sources more efficiently,Hardware,SIH26217,0/500,Renewable / Sustainable Energy,20 September 2026
218,AICTE,"Student Innovation-There is a need to design drones and robots that can solve some of the pressing challenges of India such as handling medical emergencies, search and rescue operations, etc.",Hardware,SIH26218,0/500,Robotics and Drones,20 September 2026
219,AICTE,Student Innovation-Ideas focused on the intelligent use of resources for transforming and advancements of technology with combining the artificial intelligence to explore more various sources and get valuable insights.,Hardware,SIH26219,0/500,Smart Automation,20 September 2026
220,AICTE,Student Innovation-Creating intelligent devices to improve commutation sector.,Hardware,SIH26220,0/500,Smart Vehicles,20 September 2026
221,AICTE,"Student Innovation-A solution/idea that can boost the current situation of the tourism industries including hotels, travel and others.",Hardware,SIH26221,0/500,Travel & Tourism,20 September 2026
222,AICTE,"Student Innovation-Submit your ideas to address the growing pressures on the city’s resources, transport networks, and logistic infrastructure.",Hardware,SIH26222,0/500,Transportation & Logistics,20 September 2026
223,AICTE,"Student Innovation-Disaster management includes ideas related to risk mitigation, Planning and management before, after or during a disaster.",Hardware,SIH26223,0/500,Disaster Management,20 September 2026
224,AICTE,"Student Innovation-Smart education,a concept that describes learning in digital age. It enables learners to learn more effectively, efficiently, flexibly and comfortably.",Hardware,SIH26224,0/500,Smart Education,20 September 2026
225,AICTE,"Student Innovation-Challenge your creative mind to conceptualize and develop unique toys and games based on our civilization, history, and culture etc.",Hardware,SIH26225,0/500,Toys & Games,20 September 2026
226,AICTE,"Student Innovation-Space technology refers to the application of engineering principles to the design, development, manufacture, and operation of devices and systems for space travel and exploration.",Hardware,SIH26226,0/500,Space Technology,20 September 2026
227,Ministry of defence (MoD),Semantic Retrieval and Multi-Temporal Change Analysis of Satellite lmagery.,Software,SIH26227,0/500,Space Technology,20 September 2026
228,Ministry of defence (MoD),"Trustworthy Computer Vision Integrity Assurance for Data, Models and Inference Outputs in Multi-Contributor Pipelines",Software,SIH26228,0/500,Blockchain & Cybersecurity,20 September 2026
229,Ministry of Mines (MoM),Kabadiwala Connect – Bringing the Informal Collector into the Formal Recycling Chain,Software,SIH26229,0/500,Clean & Green Technology,20 September 2026
230,Ministry of Home Affairs,Breath-Based Detection Device for Drug Consumption,Hardware,SIH26230,0/500,MedTech / BioTech / HealthTech,20 September 2026
231,Ministry of Home Affairs,Digital Companion for Field Drug Testing,Software,SIH26231,0/500,MedTech / BioTech / HealthTech,20 September 2026
